Team,Neutral DB Rate,Neutral DB Rate Last 5,Sec/Play,Sec/Play Last 5,Off Plays/G,Total Plays/G
49ers,58,59,28.2,27.7,68.7,128.4
Bears,56.3,54.9,30.1,29.8,62.3,118.8
Bengals,66.4,66.9,28.4,29,57.3,122.1
Bills,57,57.2,31.6,32.9,63,120.2
Broncos,64.1,63.2,28.5,28.4,65.1,126
Browns,60.3,57.8,28.1,28,65.7,122.1
Buccaneers,60.9,62,29.7,30,62,122.6
Cardinals,66.9,66.7,30.2,29.1,63,127
Chargers,67.1,66.7,29.6,29,65.1,123.6
Chiefs,70.7,71,29.9,30.3,64.9,117.9
Colts,63.8,65.6,29.8,29.1,59.9,123.3
Commanders,61.1,57.4,28.5,29.5,59.1,121.6
Cowboys,61.3,60.9,28.8,29.6,63.9,130.1
Dolphins,61.4,61.5,30,30.3,54.1,114.3
Eagles,61.8,63.9,31,29.8,57.3,121.7
Falcons,59.6,57.8,29.8,29.8,65,119.7
Giants,57.9,54.8,28.5,28,66.1,132.6
Jaguars,64.4,65.3,28.5,28.3,65.4,126.4
Jets,54.5,58.8,28.9,28.1,59.9,121.4
Lions,53.6,52.1,31.5,31.3,60.6,120
Packers,57.1,56.4,30.6,30.5,60.5,124.8
Panthers,58.2,55.7,29.9,31.1,65.3,121.1
Patriots,62.1,60.8,30.9,30.8,60,115.9
Raiders,58.5,52.3,31.2,32.1,56.1,118.1
Rams,62.3,62.5,27.9,27.1,61.3,128.7
Ravens,56.5,59.1,30.8,30.9,54.2,121.3
Saints,55.3,54.7,27,28.1,62.4,124.6
Seahawks,55.1,56.6,29.4,29.9,58.1,123.9
Steelers,56.8,56.7,30.2,30.6,54.5,123.8
Texans,62.1,62.4,30.8,30.3,60.3,118.3
Titans,58.4,60.6,28,27.4,57.9,119.7
Vikings,62.8,63.7,30.4,29.9,58.8,116.7
