Team Details,,,,,,Splits,Rushing,,,,,,,Advanced,,,,,,,,,,,,,Zone Concept,,,,,,Man/Gap Concept,,,,,
Rank,Name,G,Season,Location,Team Name,CONCEPT,ATT,YDS,RuYDS/G,YPC,TD,FUM,1D,EXP RUN %,EXP YDS,EXP YDS %,i5 ATT,TD RATE,Success %,STUFF %,MTF,MTF/ATT,YACO,YACO/ATT,YACO %,YBCO/ATT,ATT,ATT %,YDS,TD,YPC,Success %,ATT,ATT %,YDS,TD,YPC,Success %
1,Atlanta Falcons,6,2025,Atlanta,Falcons,Man/Duo,34,149,24.8,4.38,1,0,8,,0,,2,2.9,58.8,38.2,3,0.09,90,2.65,60.4,1.74,0,,0,0,,,34,100,149,1,4.38,58.8
2,Atlanta Falcons,6,2025,Atlanta,Falcons,Outside Zone,31,112,18.7,3.61,0,0,6,3.2,16,14.3,0,,35.5,58.1,5,0.16,68,2.19,60.7,1.42,31,100,112,0,3.61,35.5,0,,0,0,,
3,Atlanta Falcons,6,2025,Atlanta,Falcons,Inside Zone,24,100,16.7,4.17,0,0,7,,0,,0,,54.2,41.7,3,0.13,49,2.04,49,2.13,24,100,100,0,4.17,54.2,0,,0,0,,
4,Atlanta Falcons,3,2025,Atlanta,Falcons,Power,16,96,32,6,2,0,5,12.5,30,31.3,2,12.5,75,31.3,4,0.25,53,3.31,55.2,2.69,0,,0,0,,,16,100,96,2,6,75
5,Atlanta Falcons,5,2025,Atlanta,Falcons,Counter,10,92,18.4,9.2,0,0,4,10,48,52.2,0,,70,30,3,0.3,65,6.5,70.7,2.7,0,,0,0,,,10,100,92,0,9.2,70
6,Atlanta Falcons,6,2025,Atlanta,Falcons,Pull Lead,8,37,6.2,4.63,0,0,0,,0,,0,,75,25,1,0.13,20,2.5,54.1,2.13,0,,0,0,,,8,100,37,0,4.63,75
7,Atlanta Falcons,6,2025,Atlanta,Falcons,Kneel,4,-4,-0.7,-1,0,0,0,,0,,0,,,,0,,0,,,-1,0,,0,0,,,0,,0,0,,
8,Atlanta Falcons,3,2025,Atlanta,Falcons,QB Sneak,4,6,2,1.5,0,1,3,,0,,0,,75,25,0,,5,1.25,83.3,0.25,0,,0,0,,,0,,0,0,,
9,Atlanta Falcons,4,2025,Atlanta,Falcons,Trap,3,6,1.5,2,0,0,0,,0,,0,,66.7,66.7,0,,5,1.67,83.3,0.33,0,,0,0,,,3,100,6,0,2,66.7
10,Atlanta Falcons,2,2025,Atlanta,Falcons,Trick/WR RUN,3,2,1,0.67,0,1,0,,0,,0,,33.3,66.7,0,,2,0.67,100,0,0,,0,0,,,0,,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rank,"Rank, Most to Least",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G,Games Played,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONCEPT,Primary Rush Concept,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATT,Rushing Attempts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YDS,Rushing Yards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RuYDS/G,Rushing Yards per Game,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YPC,Rushing Yards per Carry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TD,Rushing Touchdowns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FUM,Rushing Fumbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1D,Rushing 1st Downs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXP RUN %,Percentage of Runs to go for 15+ Yards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXP YDS,Rushing Yards on Runs that go for 15+ Yards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXP YDS %,Percentage of Yards to come on Explosive Runs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i5 ATT,Inside the 5 Opponent Rush Attempts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TD RATE,Percentage of Carries where a TD is Scored,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Success %,Rushing success rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STUFF %,"Percentage of Carries that are ""Stuffed"". A ""stuff"" is any run that does not result in a first down or touchdown, less than 4 yards on first down, or less than 3 yards on any other down",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTF,Missed Tackles Forced on Carries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTF/ATT,Missed Tackles Forced per Attempt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YACO,Yards After Contact on Carries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YACO/ATT,Yards After Contact per Attempt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YACO %,Percentage of Yards that come After Contact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YBCO/ATT,Yards Before Contact per Attempt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATT,Zone Attempts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATT %,Zone Attempts Percentage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YDS,Zone Yards Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TD,Zone Touchdowns Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YPC,Zone Yards per Carry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Success %,Zone Attempts Success Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATT,Man/Gap Attempts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATT %,Man/Gap Attempts Percentage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YDS,Man/Gap Yards Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TD,Man/Gap Touchdowns Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
