Team Details,,,,,,Splits,Receiving,,,,,,,,,,,,,,,,,,Advanced,,,,,,,,,,,,,,,,,,,,,,,
Rank,Name,G,Season,Location,Team Name,SCHEME,RTE,aDOT,AY,TGT,TPRR,REC,CR %,YDS,RecYDS/G,YPRR,YPT,YPR,YAC,YAC/REC,YACO,YACO/REC,TD,i20,EZTGT,EZTD,MTF,MTF/REC,1D,1D/RR,DRP,DRP %,CTGT,CTGT %,DESIGN,DESIGN %,CT,CC,CC %,HERO,RATE,1READ,1READ %,YPTOE,WIDE TGT %,SLOT TGT %,INLINE TGT %,BACK TGT %
1,Atlanta Falcons,6,2025,Atlanta,Falcons,Cover 3,411,9.6,699,73,0.18,43,58.9,428,71.3,1.04,5.86,9.95,158,3.67,51,1.19,4,8,5,3,7,0.16,26,0.063,8,11,54,74,5,6.8,15,8,53.3,0,82.4,47,64.4,-2.1,52.1,20.5,6.8,19.2
2,Atlanta Falcons,6,2025,Atlanta,Falcons,Cover 1,178,9.1,282,31,0.17,19,61.3,193,32.2,1.08,6.23,10.16,56,2.95,28,1.47,0,4,0,0,0,,12,0.067,2,6.5,24,77.4,2,6.5,7,3,42.9,0,52.2,27,87.1,-1.6,51.6,41.9,,6.5
3,Atlanta Falcons,6,2025,Atlanta,Falcons,Cover 4,128,9.2,238,26,0.2,18,69.2,141,23.5,1.1,5.42,7.83,69,3.83,21,1.17,0,0,0,0,2,0.11,6,0.047,0,,19,73.1,5,19.2,3,1,33.3,0,66.3,21,80.8,-2.4,30.8,46.2,7.7,15.4
4,Atlanta Falcons,6,2025,Atlanta,Falcons,Cover 2,23,15.8,63,4,0.17,4,100,103,17.2,4.48,25.75,25.75,40,10,6,1.5,1,0,0,0,2,0.5,2,0.087,0,,4,100,0,,0,0,0,0,158.3,1,25,16.6,75,,,25
5,Atlanta Falcons,6,2025,Atlanta,Falcons,Cover 6,53,5.4,49,9,0.17,6,66.7,55,9.2,1.04,6.11,9.17,19,3.17,4,0.67,0,0,0,0,0,,2,0.038,1,11.1,7,77.8,1,11.1,2,1,50,0,83.1,5,55.6,-0.6,11.1,55.6,,22.2
6,Atlanta Falcons,5,2025,Atlanta,Falcons,Red Zone,20,7,21,3,0.15,2,66.7,14,2.8,0.7,4.67,7,10,5,4,2,2,3,2,1,0,,2,0.1,0,,2,66.7,0,,0,0,0,0,116.7,1,33.3,-3,66.7,,,33.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rank,"Rank, Most to Least",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G,Games Played,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHEME,Coverage Scheme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTE,Routes Run,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aDOT,Average Depth of Target,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AY,Receiving - Yards - Air - Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TGT,Targets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TPRR,Targets per Route Run,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REC,Receptions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR %,Catch Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YDS,Receiving Yards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecYDS/G,Receiving Yards per Game,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YPRR,Yards per Route Run,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YPT,Yards per Target,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YPR,Yards per Reception,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YAC,Yards After the Catch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YAC/REC,Yards After the Catch per Reception,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YACO,Yards After Contact on Receptions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YACO/REC,Yards After Contact per Reception,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TD,Receiving Touchdowns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i20,Inside the 20 targets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EZTGT,Endzone Targets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EZTD,Touchdowns Scored on Endzone Targets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTF,Missed Tackles Forced on Receptions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTF/REC,Missed Tackles Forced per Reception,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1D,Receiving 1st Downs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1D/RR,Receiving 1st Downs per Route Run,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRP,Drops,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRP %,Drops per Target,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTGT,Targets the QB gave the receiver a chance to catch the ball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTGT %,Percentage of Targets the Receiver had an Opportunity to Catch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DESIGN,Targets that come on a designed read,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DESIGN %,Percentage of Targets from Designed Plays such as Screens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT,Targets the Receiver has Contact with a Defender at the Catch Point,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC,Contested Catches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC %,Contested Catch Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HERO,WR makes an extraordinary catch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RATE,Passer Rating When Targeted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1READ,First Read and Designed Targets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1READ %,Percentage of Team's 1st Read and Designed Targets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YPTOE,Yards per Target Over Expectation (Based on Depth of Target),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIDE TGT %,Percentage of Targets Received when Lined Up Out Wide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLOT TGT %,Percentage of Targets Received when Lined Up in the Slot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INLINE TGT %,Percentage of Targets Received when Lined Up Inline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BACK TGT %,Percentage of Targets Received when Lined Up in the Backfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
