Player Details,,,,,,Splits,Receiving,,,,,,,,,,,,,,,,,,,,,,,Advanced,,,,,,,,,,,,,,,,,,,,,,,,,,,FPTS,,,,,,
Rank,Name,Team,POS,G,Season,SCHEME,RTE,RTE %,aDOT,AY,AY Share,TGT,TGT/G,TGT %,TPRR,REC,CR %,YDS,RecYDS/G,TM YDS %,YPRR,YPT,YPR,YAC,YAC/REC,YACO,YACO/REC,TD,TM TD %,i20 TGT,EZTGT,EZTD,DP TGT,1READ,1READ %,MTF,MTF/REC,1D,1D/RR,DRP,DRP %,CTGT,CTGT %,DESIGN,DESIGN %,CT,CC,CC %,HERO,RATE,THREAT,YPTOE,WIDE RTE %,SLOT RTE %,INLINE RTE %,BACK RTE %,FP/RR,FP/G,FP,XFP,XFP/G,XFP/RR,RecXFP
1,Drake London,ATL,WR,6,2025,Cover 3,63,77.8,10.8,270,65.4,25,4.2,33.3,0.4,17,68,253,42.2,39.2,4.02,10.12,14.88,75,4.41,25,1.47,1,50,1,1,1,2,20,39.2,2,0.12,11,0.175,1,4,19,76,0,,4,3,75,1,97.6,36.8,1.8,66.7,33.3,,,0.77,8.1,48.3,42.1,7,0.67,42.1
2,Bijan Robinson,ATL,RB,6,2025,Cover 3,64,79,-0.1,-2,-0.5,21,3.5,28,0.33,17,81,287,47.8,44.5,4.48,13.67,16.88,288,16.94,52,3.06,1,50,0,0,0,0,16,31.4,8,0.47,8,0.125,2,9.5,19,90.5,7,33.3,0,0,0,0,114.8,33.3,7.4,10.9,26.6,,62.5,0.81,8.6,51.7,31.5,5.3,0.49,31.5
3,Kyle Pitts,ATL,TE,6,2025,Cover 3,67,82.7,4.6,65,15.7,14,2.3,18.7,0.21,10,71.4,58,9.7,9,0.87,4.14,5.8,35,3.5,11,1.1,0,0,2,0,0,1,8,15.7,1,0.1,4,0.06,0,,10,71.4,5,35.7,0,0,0,0,78.9,20.9,-3.3,29.9,26.9,43.3,,0.24,2.6,15.8,24.3,4.1,0.36,24.3
4,Kyle Pitts,ATL,TE,6,2025,Cover 1,32,84.2,7,77,19.4,11,1.8,31.4,0.34,9,81.8,105,17.5,50,3.28,9.55,11.67,48,5.33,33,3.67,1,100,1,0,0,0,8,30.8,2,0.22,7,0.219,0,,9,81.8,0,,0,0,0,0,136.7,39.3,1.7,15.6,18.8,65.6,,0.8,4.3,25.5,18.7,3.1,0.58,18.7
5,Drake London,ATL,WR,6,2025,Cover 2,28,87.5,7.9,79,41.4,10,1.7,32.3,0.36,8,80,89,14.8,38.7,3.18,8.9,11.13,43,5.38,27,3.38,0,0,0,0,0,1,9,45,1,0.13,3,0.107,0,,8,80,0,,0,0,0,0,103.7,38.5,1.6,78.6,21.4,,,0.6,2.8,16.9,17.3,2.9,0.62,17.3
6,Drake London,ATL,WR,6,2025,Cover 4,21,91.3,8.2,74,52.5,9,1.5,40.9,0.43,9,100,93,15.5,72.7,4.43,10.33,10.33,19,2.11,7,0.78,0,0,0,0,0,0,9,60,0,,4,0.19,0,,9,100,0,,0,0,0,0,109.7,47.4,2.8,100,,,,0.87,3.1,18.3,13.5,2.2,0.64,13.5
7,Darnell Mooney,ATL,WR,4,2025,Cover 1,23,85.2,14.7,88,28.6,6,1.5,24,0.26,2,33.3,54,13.5,40.9,2.35,9,27,16,8,7,3.5,0,0,0,0,0,1,5,26.3,0,,2,0.087,3,50,5,83.3,0,,0,0,0,0,67.4,33.3,-0.3,65.2,34.8,,,0.32,1.9,7.4,11.3,2.8,0.49,11.3
8,Bijan Robinson,ATL,RB,6,2025,Cover 2,25,78.1,2.2,13,6.8,6,1,19.4,0.24,5,83.3,44,7.3,19.1,1.76,7.33,8.8,34,6.8,9,1.8,0,0,1,0,0,0,4,20,0,,4,0.16,0,,5,83.3,1,16.7,0,0,0,0,97.2,24,0.9,40,12,,48,0.38,1.6,9.4,8.8,1.5,0.35,8.8
9,Drake London,ATL,WR,6,2025,Cover 1,35,92.1,14.8,89,22.5,6,1,17.1,0.17,1,16.7,9,1.5,4.3,0.26,1.5,9,0,,,,0,0,0,0,0,2,6,23.1,0,,1,0.029,0,,1,16.7,0,,1,0,0,0,39.6,20.7,-7.1,77.1,22.9,,,0.05,0.3,1.9,10.9,1.8,0.31,10.9
10,Kyle Pitts,ATL,TE,6,2025,Cover 6,25,96.2,6.3,38,18.2,6,1,26.1,0.24,4,66.7,58,9.7,32.4,2.32,9.67,14.5,26,6.5,6,1.5,0,0,0,0,0,0,3,18.8,2,0.5,4,0.16,0,,4,66.7,0,,0,0,0,0,97.9,27.3,2.5,28,16,56,,0.39,1.6,9.8,8.9,1.5,0.36,8.9
11,Darnell Mooney,ATL,WR,4,2025,Cover 3,32,68.1,13.4,67,22.5,5,1.3,11.6,0.16,3,60,41,10.3,11.5,1.28,8.2,13.67,4,1.33,1,0.33,0,0,0,0,0,0,5,18.5,0,,3,0.094,1,20,4,80,0,,0,0,0,0,86.3,17.2,-1.4,53.1,46.9,,,0.22,1.8,7.1,11,2.7,0.34,11
12,Bijan Robinson,ATL,RB,6,2025,Cover 4,19,82.6,4.8,24,17,5,0.8,22.7,0.26,3,60,7,1.2,5.5,0.37,1.4,2.33,2,0.67,1,0.33,0,0,3,0,0,0,1,6.7,0,,0,0,0,,3,60,0,,1,1,100,0,64.6,29.4,-5.6,10.5,26.3,,63.2,0.19,0.6,3.7,7.1,1.2,0.37,7.1
13,Drake London,ATL,WR,6,2025,Cover 6,22,84.6,9.3,37,17.7,4,0.7,17.4,0.18,1,25,18,3,10.1,0.82,4.5,18,5,5,-1,-1,0,0,0,0,0,0,4,25,0,,0,0,0,,1,25,0,,0,0,0,0,45.8,20,-3.6,54.5,45.5,,,0.08,0.3,1.8,6.7,1.1,0.3,6.7
14,Casey Washington,ATL,WR,4,2025,Cover 1,18,66.7,19.5,78,29.2,4,1,16.7,0.22,1,25,19,4.8,9.9,1.06,4.75,19,4,4,2,2,0,0,0,0,0,1,3,17.6,0,,1,0.056,0,,1,25,0,,0,0,0,0,46.9,28.6,-5.9,72.2,27.8,,,0.16,0.7,2.9,6.8,1.7,0.38,6.8
