Team Details,,,,,,Splits,Rushing,,,,,,,Advanced,,,,,,,,,,,,,Zone Concept,,,,,,Man/Gap Concept,,,,,
Rank,Name,G,Season,Location,Team Name,CONCEPT,ATT,YDS,RuYDS/G,YPC,TD,FUM,1D,EXP RUN %,EXP YDS,EXP YDS %,i5 ATT,TD RATE,Success %,STUFF %,MTF,MTF/ATT,YACO,YACO/ATT,YACO %,YBCO/ATT,ATT,ATT %,YDS,TD,YPC,Success %,ATT,ATT %,YDS,TD,YPC,Success %
1,Miami Dolphins,7,2025,Miami,Dolphins,Inside Zone,48,278,39.7,5.79,0,1,17,10.4,100,36,1,,56.3,41.7,12,0.25,152,3.17,54.7,2.63,48,100,278,0,5.79,56.3,0,,0,0,,
2,Miami Dolphins,7,2025,Miami,Dolphins,Outside Zone,46,222,31.7,4.83,0,0,7,8.7,123,55.4,1,,28.3,69.6,8,0.17,151,3.28,68,1.54,46,100,222,0,4.83,28.3,0,,0,0,,
3,Miami Dolphins,7,2025,Miami,Dolphins,Man/Duo,27,101,14.4,3.74,1,0,3,7.4,40,39.6,2,3.7,33.3,59.3,3,0.11,52,1.93,51.5,1.81,0,,0,0,,,27,100,101,1,3.74,33.3
4,Miami Dolphins,7,2025,Miami,Dolphins,Power,23,171,24.4,7.43,1,0,5,13,86,50.3,0,4.3,56.5,43.5,4,0.17,119,5.17,69.6,2.26,0,,0,0,,,23,100,171,1,7.43,56.5
5,Miami Dolphins,7,2025,Miami,Dolphins,Pull Lead,14,66,9.4,4.71,1,0,2,7.1,53,80.3,2,7.1,28.6,64.3,2,0.14,66,4.71,100,0,0,,0,0,,,14,100,66,1,4.71,28.6
6,Miami Dolphins,4,2025,Miami,Dolphins,Counter,10,33,8.3,3.3,2,0,4,10,15,45.5,2,20,60,40,2,0.2,24,2.4,72.7,0.9,0,,0,0,,,10,100,33,2,3.3,60
7,Miami Dolphins,3,2025,Miami,Dolphins,QB Sneak,7,13,4.3,1.86,2,0,7,,0,,2,28.6,100,,0,,5,0.71,38.5,1.14,0,,0,0,,,0,,0,0,,
8,Miami Dolphins,4,2025,Miami,Dolphins,Kneel,7,-7,-1.8,-1,0,1,0,,0,,0,,,,0,,0,,,-1,0,,0,0,,,0,,0,0,,
9,Miami Dolphins,6,2025,Miami,Dolphins,Trick/WR RUN,4,36,6,9,0,0,2,25,15,41.7,0,,100,,1,0.25,13,3.25,36.1,5.75,0,,0,0,,,0,,0,0,,
10,Miami Dolphins,3,2025,Miami,Dolphins,Trap,4,31,10.3,7.75,0,0,2,25,15,48.4,0,,100,,0,,13,3.25,41.9,4.5,0,,0,0,,,4,100,31,0,7.75,100
