Team Details,,,,,,Splits,Receiving,,,,,,,,,,,,,,,,,,Advanced,,,,,,,,,,,,,,,,,,,,,,,
Rank,Name,G,Season,Location,Team Name,SCHEME,RTE,aDOT,AY,TGT,TPRR,REC,CR %,YDS,RecYDS/G,YPRR,YPT,YPR,YAC,YAC/REC,YACO,YACO/REC,TD,i20,EZTGT,EZTD,MTF,MTF/REC,1D,1D/RR,DRP,DRP %,CTGT,CTGT %,DESIGN,DESIGN %,CT,CC,CC %,HERO,RATE,1READ,1READ %,YPTOE,WIDE TGT %,SLOT TGT %,INLINE TGT %,BACK TGT %
1,Miami Dolphins,7,2025,Miami,Dolphins,Cover 2,273,4.5,242,54,0.2,44,81.5,473,67.6,1.73,8.76,10.75,299,6.8,111,2.52,1,2,0,0,10,0.23,23,0.084,1,1.9,45,83.3,6,11.1,1,1,100,0,109.3,33,61.1,2.1,40.7,24.1,13,20.4
2,Miami Dolphins,7,2025,Miami,Dolphins,Cover 1,179,7.3,261,36,0.2,27,75,364,52,2.03,10.11,13.48,196,7.26,36,1.33,2,9,4,1,5,0.19,17,0.095,1,2.8,30,83.3,4,11.1,7,4,57.1,0,125.2,26,72.2,2.7,41.7,30.6,13.9,13.9
3,Miami Dolphins,7,2025,Miami,Dolphins,Cover 3,216,7.5,339,45,0.21,34,75.6,335,47.9,1.55,7.44,9.85,159,4.68,37,1.09,1,3,0,0,2,0.06,13,0.06,4,8.9,38,84.4,2,4.4,4,2,50,0,94.2,29,64.4,0,37.8,22.2,28.9,11.1
4,Miami Dolphins,7,2025,Miami,Dolphins,Cover 4,96,5,106,21,0.22,18,85.7,162,23.1,1.69,7.71,9,95,5.28,37,2.06,1,8,0,0,5,0.28,8,0.083,1,4.8,19,90.5,4,19,0,0,0,0,114.7,16,76.2,0.8,47.6,4.8,28.6,19
5,Miami Dolphins,5,2025,Miami,Dolphins,Cover 0,46,10.3,103,10,0.22,7,70,70,14,1.52,7,10,25,3.57,6,0.86,3,5,3,2,1,0.14,6,0.13,1,10,9,90,1,10,4,3,75,2,129.2,7,70,-1.1,30,40,10,20
6,Miami Dolphins,7,2025,Miami,Dolphins,Cover 6,61,3.4,31,9,0.15,7,77.8,69,9.9,1.13,7.67,9.86,48,6.86,15,2.14,0,0,0,0,2,0.29,6,0.098,1,11.1,9,100,0,,2,1,50,0,98.6,6,66.7,1.4,33.3,33.3,22.2,11.1
7,Miami Dolphins,3,2025,Miami,Dolphins,Bracket,25,8,40,5,0.2,2,40,27,9,1.08,5.4,13.5,15,7.5,5,2.5,0,2,1,0,0,,1,0.04,0,,2,40,0,,0,0,0,0,57.9,3,60,-2.7,20,60,,20
8,Miami Dolphins,6,2025,Miami,Dolphins,Red Zone,33,8.8,35,4,0.12,3,75,17,2.8,0.52,4.25,5.67,2,0.67,1,0.33,3,4,3,2,0,,3,0.091,0,,4,100,0,,1,0,0,0,121.9,2,50,-3.8,,50,50,
9,Miami Dolphins,6,2025,Miami,Dolphins,Cover 2 Man,16,4.3,17,4,0.25,2,50,2,0.3,0.13,0.5,1,5,2.5,3,1.5,0,1,0,0,0,,0,0,0,,2,50,1,25,0,0,0,0,56.3,2,50,-6.3,25,,,75
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rank,"Rank, Most to Least",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G,Games Played,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHEME,Coverage Scheme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTE,Routes Run,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aDOT,Average Depth of Target,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AY,Receiving - Yards - Air - Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TGT,Targets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TPRR,Targets per Route Run,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REC,Receptions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR %,Catch Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YDS,Receiving Yards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecYDS/G,Receiving Yards per Game,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
