Player Details,,,,,,Splits,Receiving,,,,,,,,,,,,,,,,,,,,,,,Advanced,,,,,,,,,,,,,,,,,,,,,,,,,,,FPTS,,,,,,
Rank,Name,Team,POS,G,Season,SCHEME,RTE,RTE %,aDOT,AY,AY Share,TGT,TGT/G,TGT %,TPRR,REC,CR %,YDS,RecYDS/G,TM YDS %,YPRR,YPT,YPR,YAC,YAC/REC,YACO,YACO/REC,TD,TM TD %,i20 TGT,EZTGT,EZTD,DP TGT,1READ,1READ %,MTF,MTF/REC,1D,1D/RR,DRP,DRP %,CTGT,CTGT %,DESIGN,DESIGN %,CT,CC,CC %,HERO,RATE,THREAT,YPTOE,WIDE RTE %,SLOT RTE %,INLINE RTE %,BACK RTE %,FP/RR,FP/G,FP,XFP,XFP/G,XFP/RR,RecXFP
1,Jaylen Waddle,MIA,WR,7,2025,Cover 3,60,76.9,13.2,225,36.2,17,2.4,23.3,0.28,10,58.8,151,21.6,33.8,2.52,8.88,15.1,43,4.3,6,0.6,0,0,1,1,0,3,17,37,0,,7,0.117,2,11.8,12,70.6,1,5.9,2,1,50,1,48.5,30.4,0.1,90,10,,,0.42,3.6,25.1,31.3,4.5,0.52,31.3
2,De'Von Achane,MIA,RB,7,2025,Cover 3,45,57.7,2.2,29,4.7,13,1.9,17.8,0.29,9,69.2,56,8,12.5,1.24,4.31,6.22,52,5.78,19,2.11,0,0,0,0,0,0,7,15.2,1,0.11,3,0.067,0,,9,69.2,2,15.4,0,0,0,0,38.1,28.9,-2.7,13.3,31.1,,55.6,0.32,2.1,14.6,19.4,2.8,0.43,19.4
3,De'Von Achane,MIA,RB,7,2025,Cover 2,42,65.6,-3.2,-38,-15.2,12,1.7,23.1,0.29,11,91.7,51,7.3,15.9,1.21,4.25,4.64,86,7.82,18,1.64,0,0,0,0,0,0,6,19.4,0,,2,0.048,0,,11,91.7,3,25,0,0,0,0,84.4,28.6,-1.6,9.5,16.7,,73.8,0.38,2.3,16.1,19.9,2.8,0.47,19.9
4,Tyreek Hill,MIA,WR,4,2025,Cover 3,22,66.7,17.3,156,58.4,9,2.3,29,0.41,5,55.6,101,25.3,45.5,4.59,11.22,20.2,37,7.4,11,2.2,0,0,0,0,0,2,7,35,1,0.2,5,0.227,1,11.1,7,77.8,0,,2,0,0,0,55.6,45,1.7,59.1,40.9,,,0.69,3.8,15.1,16.7,4.2,0.76,16.7
5,Jaylen Waddle,MIA,WR,7,2025,Cover 2,43,67.2,10,90,36,9,1.3,17.3,0.21,7,77.8,75,10.7,23.4,1.74,8.33,10.71,9,1.29,,,0,0,0,0,0,1,6,19.4,0,,4,0.093,0,,7,77.8,1,11.1,1,1,100,0,101.4,25,0.3,79.1,16.3,,4.7,0.34,2.1,14.5,12.9,1.8,0.3,12.9
6,Malik Washington,MIA,WR,7,2025,Cover 2,40,62.5,1.7,15,6,9,1.3,17.3,0.23,8,88.9,43,6.1,13.4,1.08,4.78,5.38,43,5.38,14,1.75,0,0,1,0,0,0,8,25.8,0,,2,0.05,0,,8,88.9,4,44.4,1,1,100,0,86.6,29,-1.3,42.5,55,,2.5,0.31,1.8,12.3,13.8,2,0.34,13.8
7,Malik Washington,MIA,WR,7,2025,Cover 3,46,59,9,81,13,9,1.3,12.3,0.2,4,44.4,18,2.6,4,0.39,2,4.5,25,6.25,8,2,0,0,1,0,0,1,4,8.7,1,0.25,1,0.022,1,11.1,5,55.6,2,22.2,1,0,0,0,12,21.4,-5.4,34.8,56.5,2.2,6.5,0.13,0.8,5.8,13.2,1.9,0.29,13.2
8,Tyreek Hill,MIA,WR,4,2025,Cover 2,27,62.8,14.3,100,69.9,7,1.8,20,0.26,5,71.4,59,14.8,29.8,2.19,8.43,11.8,9,1.8,4,0.8,0,0,0,0,0,4,4,20,0,,3,0.111,0,,6,85.7,1,14.3,0,0,0,0,96.7,30.4,-0.4,63,37,,,0.4,2.7,10.9,13.2,3.3,0.49,13.2
9,Julian Hill,MIA,TE,7,2025,Cover 3,26,33.3,5.7,34,5.5,6,0.9,8.2,0.23,4,66.7,29,4.1,6.5,1.12,4.83,7.25,30,7.5,11,2.75,0,0,1,1,0,1,4,8.7,1,0.25,1,0.038,0,,4,66.7,2,33.3,1,1,100,0,38.2,15.4,-2.5,7.7,11.5,76.9,3.8,0.27,1,6.9,11,1.6,0.42,11
10,De'Von Achane,MIA,RB,7,2025,Cover 6,14,70,-0.3,-2,-1.7,6,0.9,30,0.43,3,50,17,2.4,11.6,1.21,2.83,5.67,22,7.33,3,1,0,0,1,0,0,0,4,28.6,0,,0,0,2,33.3,5,83.3,2,33.3,1,1,100,0,56.3,37.5,-3.2,28.6,35.7,,35.7,0.34,0.7,4.7,11,1.6,0.79,11
