Player Details,,,,,,Splits,Rushing,,,,,,,Advanced,,,,,,,,,,,,,Zone Concept,,,,,,Man/Gap Concept,,,,,,FPTS,,,
Rank,Name,Team,POS,G,Season,CONCEPT,ATT,YDS,RuYDS/G,YPC,TD,FUM,1D,EXP RUN %,EXP YDS,EXP YDS %,i5 %,TD RATE,Success %,STUFF %,MTF,MTF/ATT,YACO,YACO/ATT,YACO %,YBCO/ATT,ATT,ATT %,YDS,TD,YPC,Success %,ATT,ATT %,YDS,TD,YPC,Success %,FP/G,FP,XFP,XFP/G
1,De'Von Achane,MIA,RB,7,2025,Outside Zone,45,200,28.6,4.44,2,1,9,8.9,92,46,100,4.4,35.6,64.4,10,0.22,107,2.38,53.5,2.07,45,100,200,2,4.44,35.6,0,,0,0,,,4.6,32,24.5,3.5
2,De'Von Achane,MIA,RB,5,2025,Pull Lead,11,115,23,10.45,1,0,4,27.3,98,85.2,0,9.1,54.5,36.4,2,0.18,43,3.91,37.4,6.55,0,,0,0,,,11,100,115,1,10.45,54.5,3.5,17.5,4.8,1
3,Ollie Gordon,MIA,RB,6,2025,Inside Zone,9,19,3.2,2.11,1,0,3,,0,,100,11.1,55.6,44.4,2,0.22,15,1.67,78.9,0.44,9,100,19,1,2.11,55.6,0,,0,0,,,1.3,7.9,7.9,1.3
4,Ollie Gordon,MIA,RB,6,2025,Man/Duo,9,34,5.7,3.78,0,0,4,11.1,16,47.1,0,,55.6,44.4,2,0.22,31,3.44,91.2,0.33,0,,0,0,,,9,100,34,0,3.78,55.6,0.6,3.4,4.5,0.8
5,De'Von Achane,MIA,RB,6,2025,Inside Zone,8,50,8.3,6.25,0,0,2,12.5,21,42,0,,62.5,37.5,1,0.13,23,2.88,46,3.38,8,100,50,0,6.25,62.5,0,,0,0,,,0.8,5,3.9,0.6
6,De'Von Achane,MIA,RB,6,2025,Man/Duo,7,21,3.5,3,0,0,1,,0,,0,,28.6,42.9,0,,9,1.29,42.9,1.71,0,,0,0,,,7,100,21,0,3,28.6,0.4,2.1,3,0.5
7,De'Von Achane,MIA,RB,5,2025,Power,7,36,7.2,5.14,0,0,1,,0,,0,,57.1,28.6,1,0.14,17,2.43,47.2,2.71,0,,0,0,,,7,100,36,0,5.14,57.1,0.7,3.6,4.2,0.8
8,Ollie Gordon,MIA,RB,7,2025,Outside Zone,5,11,1.6,2.2,0,0,0,,0,,0,,40,60,0,,8,1.6,72.7,0.6,5,100,11,0,2.2,40,0,,0,0,,,0.2,1.1,2.4,0.3
9,De'Von Achane,MIA,RB,5,2025,No Design,4,21,4.2,5.25,0,0,0,,0,,0,,50,25,0,,9,2.25,42.9,3,0,,0,0,,,0,,0,0,,,0.4,2.1,1.8,0.4
10,De'Von Achane,MIA,RB,1,2025,Counter,4,11,11,2.75,0,0,0,,0,,0,,25,50,0,,1,0.25,9.1,2.5,0,,0,0,,,4,100,11,0,2.75,25,1.1,1.1,1.5,1.5
11,Ollie Gordon,MIA,RB,5,2025,Power,3,8,1.6,2.67,0,0,1,,0,,0,,33.3,66.7,0,,8,2.67,100,0,0,,0,0,,,3,100,8,0,2.67,33.3,0.2,0.8,1.8,0.4
12,De'Von Achane,MIA,RB,4,2025,Trick/WR RUN,2,14,3.5,7,0,0,0,,0,,0,,100,,0,,5,2.5,35.7,4.5,0,,0,0,,,0,,0,0,,,0.4,1.4,0.9,0.2
13,Ollie Gordon,MIA,RB,1,2025,Trap,1,-2,-2,-2,0,0,0,,0,,0,,,100,0,,0,,,-2,0,,0,0,,,1,100,-2,0,-2,,-0.2,-0.2,0.5,0.5
14,Ollie Gordon,MIA,RB,1,2025,Counter,1,0,0,,0,0,0,,0,,0,,,100,0,,2,2,,-2,0,,0,0,,,1,100,0,0,,,,0,1,1
15,De'Von Achane,MIA,RB,1,2025,Trap,1,4,4,4,0,0,0,,0,,0,,100,,0,,3,3,75,1,0,,0,0,,,1,100,4,0,4,100,0.4,0.4,0.4,0.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rank,"Rank, Most to Least",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Full name of the player or team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Team,Team(s) played for,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POS,Player Position,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G,Games Played,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONCEPT,Primary Rush Concept,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATT,Rushing Attempts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YDS,Rushing Yards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RuYDS/G,Rushing Yards per Game,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YPC,Rushing Yards per Carry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TD,Rushing Touchdowns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FUM,Rushing Fumbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1D,Rushing 1st Downs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXP RUN %,Percentage of Runs to go for 15+ Yards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXP YDS,Rushing Yards on Runs that go for 15+ Yards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXP YDS %,Percentage of Yards to come on Explosive Runs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i5 %,Percentage of Team's Inside the 5 Carries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
