Player Details,,,,,,Splits,Passing,,,,,,,,,,,,,,,Scrambles,,,Passing Advanced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FPTS,,,,
Rank,Name,Team,POS,G,Season,SCHEME,DB,ATT,CMP,CMP %,YDS,YDS/G,YPA,TD,INT,1D,RATE,SACK,SACK %,SK YDS,ANY/A,SCRM,YDS,TD,CPOE,aDOT,AY,Deep Throw %,Deep Throw,YAC %,ADJ CMP %,1Read %,ACC %,CATCH %,OFF %,HERO %,TWT %,EZATT,DROP %,DROP YDS,TTT,TTP,TTSK,TTSC,QB SK,QBP,PRESS %,PRESS SK %,PrROE,CHK %,RPO %,TA,BAT,SPK,FP/DB,FP/OPP,FP/G,FP,OPP
1,Michael Penix,ATL,QB,6,2025,Cover 3,80,74,50,67.6,636,106,8.59,2,2,27,91.9,2,2.5,16,7.5,4,20,0,1.6,5.7,407,4.1,3,65.6,77.1,67.6,56.8,74.3,18.9,1.4,4.1,1,5.4,11,2.61,2.57,4.6,5.4,0,26,32.5,7.7,0.02,5.4,1.3,3,0,0,0.42,0.42,5.6,33.4,80
2,Michael Penix,ATL,QB,6,2025,Cover 1,37,34,14,41.2,210,35,6.18,1,1,12,59.7,1,2.7,13,4.91,2,6,0,-10.9,12.6,390,14.7,5,41.9,53.3,73.5,29.4,47.1,38.2,2.9,2.9,1,5.9,26,2.7,2.6,4.9,6,0,15,40.5,6.7,6.9,,,2,1,0,0.32,0.32,2,12,37
3,Michael Penix,ATL,QB,6,2025,Cover 2,28,27,18,66.7,208,34.7,7.7,0,0,12,89.7,1,3.6,6,7.21,0,0,0,5.1,7.9,189,7.4,2,46.6,79.2,70.4,55.6,70.4,7.4,,,0,3.7,4,2.32,2.68,2.6,,0,6,21.4,16.7,-7.63,,3.6,3,0,0,0.26,0.26,1.2,7.3,28
4,Michael Penix,ATL,QB,6,2025,Cover 6,26,23,13,56.5,179,29.8,7.78,0,0,8,81.6,3,11.5,22,6.04,0,0,0,1,9.1,209,4.3,1,37.4,72.7,69.6,56.5,73.9,17.4,4.3,,0,13,49,2.73,2.62,2.7,,0,10,38.5,30,5.64,,3.8,0,0,0,0.28,0.28,1.2,7.2,26
5,Michael Penix,ATL,QB,6,2025,Cover 4,22,21,16,76.2,130,21.7,6.19,0,0,5,91.4,0,,0,6.19,1,5,0,9.3,7.6,144,4.8,1,26.2,84.2,71.4,61.9,76.2,9.5,,,1,,0,2.62,2.64,,6.1,0,8,36.4,,2.71,,4.5,1,1,0,0.26,0.26,1,5.7,22
6,Michael Penix,ATL,QB,4,2025,Cover 0,7,7,5,71.4,19,4.8,2.71,0,0,2,74.1,0,,0,2.71,0,0,0,-7.4,4.4,31,,0,63.2,71.4,85.7,71.4,71.4,28.6,,14.3,1,,0,2.07,1.85,,,0,2,28.6,,2.76,14.3,,0,0,0,0.11,0.11,0.2,0.8,7
7,Michael Penix,ATL,QB,4,2025,Red Zone,7,5,2,40,19,4.8,3.8,2,0,2,90.8,0,,0,11.8,2,6,1,-0.6,3.8,19,,0,89.5,80,80,40,100,,,,2,40,11,2,2.3,,4.5,0,4,57.1,,39.59,,,0,0,0,2.19,2.19,3.8,15.4,7
8,Michael Penix,ATL,QB,3,2025,Cover 2 Man,5,3,1,33.3,8,2.7,2.67,0,0,0,42.4,1,20,4,1,1,12,0,-19.5,21,63,66.7,2,25,33.3,66.7,66.7,66.7,33.3,33.3,,0,,0,3.43,2.7,4.7,5.1,0,3,60,33.3,30.42,,,0,0,0,0.3,0.3,0.5,1.5,5
9,Michael Penix,ATL,QB,2,2025,Bracket,2,1,0,,0,0,,0,0,0,39.6,1,50,9,-4.5,0,0,0,-58.4,17,17,,0,,,,,,100,,,1,,0,5.3,2.45,2.7,,0,2,100,50,59.25,,,0,0,0,0,0,,0,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
