Player Details,,,,,,Splits,Passing,,,,,,,,,,,,,,,Scrambles,,,Passing Advanced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FPTS,,,,
Rank,Name,Team,POS,G,Season,SCHEME,DB,ATT,CMP,CMP %,YDS,YDS/G,YPA,TD,INT,1D,RATE,SACK,SACK %,SK YDS,ANY/A,SCRM,YDS,TD,CPOE,aDOT,AY,Deep Throw %,Deep Throw,YAC %,ADJ CMP %,1Read %,ACC %,CATCH %,OFF %,HERO %,TWT %,EZATT,DROP %,DROP YDS,TTT,TTP,TTSK,TTSC,QB SK,QBP,PRESS %,PRESS SK %,PrROE,CHK %,RPO %,TA,BAT,SPK,FP/DB,FP/OPP,FP/G,FP,OPP
1,Tua Tagovailoa,MIA,QB,7,2025,Cover 3,67,63,35,55.6,412,58.9,6.54,0,8,20,36,3,4.5,23,0.44,1,8,0,-3.5,9.7,571,12.7,8,51.7,67.8,58.7,44.4,65.1,27,3.2,14.3,2,7.9,89,2.59,2.34,3.6,5.1,0,19,28.4,15.8,-4.31,11.1,,3,1,0,0.14,0.14,1.3,9.3,67
2,Tua Tagovailoa,MIA,QB,7,2025,Cover 2,57,47,37,78.7,271,38.7,5.77,0,0,12,90.7,8,14,34,4.31,2,12,0,2.8,4.4,197,10.6,5,58.7,82.2,59.6,59.6,80.9,14.9,2.1,,0,,0,2.5,2.18,3.3,5,2,18,31.6,44.4,4.23,6.4,7,2,0,0,0.19,0.19,1.6,11,57
3,Tua Tagovailoa,MIA,QB,7,2025,Cover 4,36,31,22,71,226,32.3,7.29,2,1,10,99.7,3,8.3,17,6,2,10,0,4.5,6.1,183,9.7,3,54.4,82.8,58.1,64.5,77.4,16.1,6.5,3.2,2,6.5,12,2.45,2.26,4,4.4,2,15,41.7,20,13.79,9.7,5.6,1,0,0,0.47,0.47,2.4,17,36
4,Tua Tagovailoa,MIA,QB,6,2025,Cover 6,18,18,13,72.2,139,23.2,7.72,0,0,7,94.4,0,,0,7.72,0,0,0,18.6,6.5,104,5.6,1,27.3,93.8,66.7,72.2,83.3,5.6,11.1,,0,11.1,-10,2.54,2.32,,,0,5,27.8,,-6.19,16.7,11.1,2,0,0,0.31,0.31,0.9,5.6,18
5,Tua Tagovailoa,MIA,QB,7,2025,Cover 1,22,19,10,52.6,95,13.6,5,0,0,7,66.8,1,4.5,6,4.45,2,6,0,-10.9,5.3,96,5.3,1,65.3,66.7,78.9,47.4,68.4,26.3,,,1,10.5,14,2.14,2.24,5.8,4.7,0,7,31.8,14.3,8.47,10.5,9.1,1,0,0,0.2,0.2,0.6,4.4,22
6,Tua Tagovailoa,MIA,QB,4,2025,Cover 2 Man,10,10,9,90,91,22.8,9.1,1,0,6,137.9,0,,0,11.1,0,0,0,13.5,6.2,62,,0,51.6,90,90,50,90,,,,0,,0,2.2,2,,,0,1,10,,-18.03,,,0,0,0,0.76,0.76,1.9,7.6,10
7,Tua Tagovailoa,MIA,QB,4,2025,Red Zone,7,7,7,100,34,8.5,4.86,3,0,4,126.5,0,,0,13.43,0,0,0,21.1,5,35,,0,61.8,100,42.9,100,100,,14.3,,3,,0,2.8,2.03,,,0,4,57.1,,18.76,28.6,,0,0,0,1.91,1.91,3.3,13.4,7
8,Tua Tagovailoa,MIA,QB,3,2025,Cover 0,7,7,5,71.4,32,10.7,4.57,5,0,5,120.2,0,,0,18.86,0,0,0,13.6,8.3,50,14.3,1,56.3,83.3,71.4,71.4,85.7,,,,4,,0,2.2,2.2,,,0,1,14.3,,-13.74,14.3,,0,1,0,3.04,3.04,7.1,21.3,7
9,Tua Tagovailoa,MIA,QB,2,2025,Prevent,3,3,1,33.3,13,6.5,4.33,0,1,1,8.3,0,,0,-10.67,0,0,0,-40.9,6.7,20,,0,84.6,33.3,66.7,33.3,33.3,66.7,,33.3,0,,0,2.47,2.5,,,0,1,33.3,,0.7,,,0,0,0,-0.16,-0.16,-0.2,-0.5,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
